Random waveform, random seed
Total number of intervals = 320 (53837, 65966, 50164, 89339, 23259, 26614, 80990, 31757, 62274, 30772, 43646, 78245, 73552, 50072, 66720, 78457, 15020, 65232, 63177, 10101, 54873, 5190, 71675, 34765, 82482, 27386, 38419, 24162, 91906, 44762, 38437, 42763, 67756, 7753, 21234, 97431, 80797, 13211, 76516, 83795, 51635, 21554, 69212, 73965, 58466, 56105, 87059, 85940, 6618, 36779, 7135, 83124, 73981, 32543, 68598, 11829, 28023, 95968, 97794, 5120, 34080, 65278, 65581, 30588, 83211, 14783, 82605, 5402, 25125, 36910, 15797, 16558, 85569, 35016, 21648, 29884, 22428, 18475, 83853, 84008, 15221, 35396, 41645, 93406, 75497, 52863, 46462, 98026, 6626, 82182, 13763, 34350, 41329, 92780, 9402, 79962, 37302, 59495, 66224, 99963, 82536, 81628, 14189, 76315, 32450, 30468, 53599, 69799, 46099, 73151, 54930, 15925, 76631, 13254, 33300, 56685, 64340, 80660, 86427, 21718, 55980, 89882, 42492, 70487, 22135, 46840, 96864, 53918, 15483, 66506, 96022, 62799, 13061, 13127, 76987, 20453, 90061, 8124, 83723, 81711, 78316, 22056, 43460, 91671, 85054, 30139, 36739, 90802, 20006, 79929, 63039, 64305, 67556, 65494, 88525, 24780, 29848, 81601, 37060, 71590, 43313, 91672, 7385, 11473, 30857, 36443, 64482, 83105, 48335, 38737, 48146, 5153, 26861, 43088, 25767, 86233, 80574, 67791, 28862, 42575, 39297, 52018, 95982, 46494, 63572, 95159, 84537, 71462, 63483, 16612, 29236, 67667, 38133, 52724, 89271, 33127, 5029, 21767, 36277, 24513, 99463, 34248, 36175, 15348, 68124, 23132, 78263, 80394, 82767, 62604, 60257, 46257, 72716, 63158, 72570, 64803, 61262, 35474, 18974, 20598, 53930, 20791, 66875, 18504, 16237, 9428, 41045, 68913, 75380, 87816, 84448, 11826, 71231, 90851, 76670, 97575, 24720, 73270, 48954, 88062, 38850, 48812, 69474, 94336, 36813, 5768, 92659, 69270, 91531, 9997, 10471, 96662, 70836, 87456, 17168, 71024, 31205, 93769, 6850, 31764, 82033, 87255, 59822, 52648, 31518, 41758, 89751, 22529, 18976, 63247, 42149, 93534, 39600, 18122, 42836, 50483, 41168, 46353, 80113, 20901, 8795, 44250, 73292, 43912, 83642, 46037, 77948, 10406, 49325, 47971, 95474, 59382, 60629, 26567, 47050, 7114, 10743, 98447, 52703, 18786, 97624, 5577, 24952, 79933, 34932, 25006, 26366, 85542, 50629, 22590, 91711, 94658, 34868, 95773, 49527, 35659, 81789, 57774, 30550, 98775)
Average QPS expected = 52324
Timestamp start: 1715641823024
Timestamp end: 1715642783730

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      379.9   317.7   148.8   192.5   205.8   321.9   395.3   448.1   488.9   534.3   591.0   690.0  1274.2  2925.1  9697.6  73980.0    73965
read      370.5   217.7   148.8   191.7   204.0   320.7   396.8   446.8   484.6   526.5   582.3   671.4  1094.7  2308.3  5192.8  58446.7    58466
read      383.0   408.2   148.8   192.2   204.7   325.6   402.1   455.0   492.3   533.9   589.5   681.8  1099.8  4403.9 14880.9  56048.7    56105
read      384.6   494.2   148.8   194.0   207.7   326.5   392.4   436.2   473.5   519.3   579.1   680.4  1254.5  4289.2 25515.1  87094.7    87059
read      393.8   371.4   148.8   196.2   210.5   332.7   403.0   452.2   490.0   533.5   592.5   712.0  1573.6  3773.3 10892.0  86161.0    85940
read      440.0  1376.0   148.8   196.6   213.7   313.3   351.1   373.4   390.9   413.2   454.1   517.5  3748.8 30569.3 35096.4   6743.0     6618
read      426.8   790.3   148.8   190.7   202.8   326.9   405.6   460.8   501.3   551.6   626.1   811.7  1521.7 12463.7 31837.4  36623.0    36779
read      521.6  1725.5   148.8   196.9   214.9   319.2   364.9   391.1   412.1   447.7   488.6   556.7  6268.4 31459.4 37508.6   7101.3     7135
read      401.0   387.8   148.8   193.8   207.9   327.8   397.3   447.2   487.1   536.1   604.1   746.9  1728.8  4005.1 10595.1  83029.0    83124
read      389.0   411.9   148.8   193.2   206.4   324.6   398.4   451.1   492.1   538.7   601.1   716.1  1426.3  4352.1 12750.0  74045.0    73981
read      372.0   212.4   148.8   192.2   204.2   330.9   406.6   455.5   491.3   530.8   582.4   660.4  1013.7  1747.1  8158.3  32647.3    32543
read      376.1   325.1   148.8   191.5   203.8   319.5   394.2   444.4   483.9   527.4   585.5   683.2  1163.6  3061.3 10643.9  68567.3    68598
read      360.7   499.6   148.8   193.7   206.7   327.2   372.8   396.4   416.1   443.8   485.6   549.5   852.2  5444.0 30381.4  11859.3    11829
read      514.8  1180.2   148.8   192.3   204.9   339.1   446.6   523.8   584.4   673.2   804.9   981.0  3298.7 13697.0 36329.3  28114.0    28023
read      506.8  1284.5   148.8   203.8   222.3   362.6   434.8   489.6   536.8   601.0   690.2   825.7  1878.9 17441.8 37227.7  96085.7    95968
read      408.5   410.3   148.8   201.5   216.9   347.0   422.5   472.3   508.6   553.9   619.2   745.7  1166.5  5321.6 14052.4  97839.0    97794
read      394.6  1056.5   160.7   206.9   225.0   299.4   328.3   345.1   359.9   376.3   402.3   473.7  2932.3 12426.0 36844.8   5178.7     5120
read      530.4  1346.2   148.8   190.6   203.0   335.8   443.0   518.6   584.9   685.7   830.6  1028.5  3499.1 24515.4 37353.9  33815.0    34080
read      410.7   713.2   148.8   192.0   204.8   322.2   397.3   448.8   488.2   533.7   596.5   721.6  1524.2 10651.1 31451.9  65240.0    65278
